#Table1
objid,ra,dec,u,g,r,i,z
1237667536933486968,149.966426054193,20.0562516444303,22.42603,24.90857,24.1905,24.55581,22.69641
1237667536933487753,149.96146500122,20.0554404140921,25.83836,23.8804,23.17221,22.34711,22.00612
1237667536933486881,149.952612459009,20.0440954484166,25.22401,21.77284,20.47719,19.21927,18.55294
1237667536933486882,149.952445951495,20.0424715005266,24.51232,23.01234,21.53869,20.07007,19.29092
1237667536933487364,149.967276177075,20.0494821030794,25.88244,24.64945,22.53706,21.8704,21.80008
1237667536933487359,149.967202207759,20.0446555640434,23.30555,22.94082,22.13236,22.12097,22.37773
1237667536933487332,149.959115168979,20.0403666826498,26.02842,23.51375,25.40557,25.1435,23.52424
1237667536933487365,149.96675286623,20.0499142816377,23.17319,22.35181,22.22383,22.30088,21.91514
1237667540679786659,149.947760375994,20.0261570125523,20.56662,19.21535,18.59991,18.34818,18.21479
1237667540679852150,149.962430355881,20.0289188411881,20.01995,19.06832,18.79038,18.66804,18.62234
1237667540679853361,149.969384814993,20.0297352263627,24.48018,23.39878,23.51324,22.39979,21.64503
1237667540679852992,149.961644711963,20.017132136208,24.46468,24.64341,23.14837,23.37128,22.6344
1237667540679852578,149.968830627409,20.0248357834962,24.90792,22.97514,22.15233,22.08604,21.11423
1237667536933487330,149.960372823134,20.0347186244794,24.12566,22.96781,22.10907,21.63051,21.61654
1237667536933486877,149.954745242646,20.0332591698705,24.77999,21.32112,19.9606,18.85464,18.21878
1237667540679786535,149.926996759239,19.9715073640307,16.02208,14.80695,14.39048,14.22592,14.17986
1237667540679786536,149.928587817967,19.9738796370316,24.28319,23.28121,22.24471,20.87877,20.10825
1237667540679786539,149.924553074573,19.9733823871147,23.76879,23.26944,24.74638,23.23615,22.87075
1237667540679786551,149.923940261902,20.0118466978366,23.87137,24.80838,24.80202,24.3618,20.64042
1237667540679786556,149.928276851281,20.010963934515,22.96422,22.25701,21.88248,22.39655,21.62824
1237667540679786545,149.922145728918,20.0092006500539,15.97371,11.85337,10.71989,10.4058,12.7499
1237667540679786557,149.92815382909,20.0103500231703,22.0097,22.39952,23.20789,22.15276,21.37527
1237667540679786567,149.925084018227,20.010279400916,22.9361,24.98593,24.80202,24.3618,21.31667
1237667540679786640,149.916086271458,19.9956354218803,20.75637,19.84849,19.58648,19.50509,19.45461
1237667540679786558,149.922832736164,20.0016268205441,24.19976,24.75271,22.57455,21.48663,21.10661
1237667540679787202,149.92859012737,19.9885102622087,24.41193,23.98157,23.06535,22.93385,21.70112
1237667540679787200,149.927949289289,19.9900979269963,24.31094,22.77748,21.12806,19.53094,18.56912
1237667540679787201,149.92863252752,19.9911930119592,23.99031,24.58306,24.12953,22.55301,21.65226
1237667540679787678,149.921459075409,19.9876659866085,24.40398,23.91727,23.57413,22.42508,21.63087
1237667540679852289,149.971706544675,19.9795943797214,23.9302,21.9134,20.50703,19.53954,19.00142
1237667540679787532,149.94367947169,19.9752596710432,25.70833,23.42458,21.85963,20.61711,19.85274
1237667540679787550,149.956718710678,19.9852554130573,23.28038,23.51374,23.02353,22.9399,21.8307
1237667540679786878,149.957967388532,19.9910530885495,22.85742,21.65261,21.31135,21.20137,21.36971
1237667540679786892,149.96816158869,19.979688368976,22.37313,24.78566,24.20852,24.48309,23.30006
1237667540679852292,149.96880075298,19.9862902774731,23.50283,20.57782,19.45103,18.96172,18.71946
1237667540679786886,149.9605911773,20.003607923732,21.56224,20.62411,20.23925,20.10128,20.13819
1237667540679786857,149.934998152751,20.001995692165,22.62766,24.72985,25.01218,25.18545,22.59937
1237667540679787536,149.936143561722,20.0108140743838,23.18681,23.35727,22.96841,23.20052,22.32876
1237667540679786713,149.943608096137,20.0052018339802,22.27852,20.11228,18.94126,18.47809,18.19592
